test_case,faulty,test_code
"org.jfree.data.xy.junit.TableXYDatasetTests.testEquals",0,"/** * Confirm that the equals method can distinguish all the required fields.*/public void testEquals(){DefaultTableXYDataset d1=new DefaultTableXYDataset();DefaultTableXYDataset d2=new DefaultTableXYDataset();assertTrue(d1.equals(d2));assertTrue(d2.equals(d1));d1.addSeries(createSeries1());assertFalse(d1.equals(d2));d2.addSeries(createSeries1());assertTrue(d1.equals(d2));}"
"org.jfree.data.xy.junit.TableXYDatasetTests.testCloning",0,"/** * Confirm that cloning works.*/public void testCloning(){DefaultTableXYDataset d1=new DefaultTableXYDataset();d1.addSeries(createSeries1());DefaultTableXYDataset d2=null;try {d2=(DefaultTableXYDataset)d1.clone();}catch(CloneNotSupportedException e){System.err.println(""Failed to clone."");}assertTrue(d1 != d2);assertTrue(d1.getClass()== d2.getClass());assertTrue(d1.equals(d2));}"
"org.jfree.data.xy.junit.TableXYDatasetTests.testSerialization",0,"/** * Serialize an instance,restore it,and check for equality.*/public void testSerialization(){DefaultTableXYDataset d1=new DefaultTableXYDataset();d1.addSeries(createSeries2());DefaultTableXYDataset d2=null;try {ByteArrayOutputStream buffer=new ByteArrayOutputStream();ObjectOutput out=new ObjectOutputStream(buffer);out.writeObject(d1);out.close();ObjectInput in=new ObjectInputStream(new ByteArrayInputStream(buffer.toByteArray()));d2=(DefaultTableXYDataset)in.readObject();in.close();}catch(Exception e){System.out.println(e.toString());}assertEquals(d1,d2);}"
"org.jfree.data.xy.junit.TableXYDatasetTests.testTableXYDataset",0,"/** * Assorted tests.*/public void testTableXYDataset(){XYSeries series1=createSeries1();XYSeries series2=createSeries2();DefaultTableXYDataset dataset=new DefaultTableXYDataset();dataset.addSeries(series1);dataset.addSeries(series2);assertEquals(6,dataset.getItemCount());assertEquals(6,dataset.getX(0,5).intValue());assertEquals(null,dataset.getY(0,5));assertEquals(6,dataset.getX(1,5).intValue());assertEquals(2,dataset.getY(1,5).intValue());series2.add(7,2);assertEquals(7,dataset.getItemCount());assertEquals(null,dataset.getY(0,6));assertEquals(2,dataset.getY(1,6).intValue());dataset.removeSeries(series1);assertEquals(7,dataset.getItemCount());dataset.removeSeries(series2);series1=createSeries1();dataset.addSeries(series1);assertEquals(4,dataset.getItemCount());}"
"org.jfree.data.xy.junit.TableXYDatasetTests.test788597",0,"/** * A test for bug report 788597.*/public void test788597(){DefaultTableXYDataset dataset=new DefaultTableXYDataset();dataset.addSeries(createSeries1());assertEquals(4,dataset.getItemCount());dataset.removeAllSeries();assertEquals(0,dataset.getItemCount());}"
"org.jfree.data.xy.junit.TableXYDatasetTests.testRemoveAllValuesForX",0,"/** * Test that removing all values for a given x works.*/public void testRemoveAllValuesForX(){DefaultTableXYDataset dataset=new DefaultTableXYDataset();dataset.addSeries(createSeries1());dataset.addSeries(createSeries2());dataset.removeAllValuesForX(new Double(2.0));assertEquals(5,dataset.getItemCount());assertEquals(new Double(1.0),dataset.getX(0,0));assertEquals(new Double(3.0),dataset.getX(0,1));assertEquals(new Double(4.0),dataset.getX(0,2));assertEquals(new Double(5.0),dataset.getX(0,3));assertEquals(new Double(6.0),dataset.getX(0,4));}"
"org.jfree.data.xy.junit.TableXYDatasetTests.testPrune",0,"/** * Tests to see that pruning removes unwanted x values.*/public void testPrune(){DefaultTableXYDataset dataset=new DefaultTableXYDataset();dataset.addSeries(createSeries1());dataset.addSeries(createSeries2());dataset.removeSeries(1);dataset.prune();assertEquals(4,dataset.getItemCount());}"
"org.jfree.data.xy.junit.TableXYDatasetTests.testAutoPrune",0,"/** * Tests the auto-pruning feature.*/public void testAutoPrune(){DefaultTableXYDataset dataset=new DefaultTableXYDataset(true);dataset.addSeries(createSeriesA());assertEquals(2,dataset.getItemCount());dataset.addSeries(createSeriesB());assertEquals(2,dataset.getItemCount());dataset.removeSeries(1);assertEquals(1,dataset.getItemCount());DefaultTableXYDataset dataset2=new DefaultTableXYDataset(true);dataset2.addSeries(createSeriesA());assertEquals(2,dataset2.getItemCount());dataset2.addSeries(createSeriesB());assertEquals(2,dataset2.getItemCount());dataset2.removeSeries(1);assertEquals(1,dataset2.getItemCount());}"
"org.jfree.chart.needle.junit.MeterNeedleTests.testEquals",0,"/** * Check that the equals()method can distinguish all fields.*/public void testEquals(){MeterNeedle n1=new LineNeedle();MeterNeedle n2=new LineNeedle();assertTrue(n1.equals(n2));n1.setFillPaint(new GradientPaint(1.0f,2.0f,Color.red,3.0f,4.0f,Color.blue));assertFalse(n1.equals(n2));n2.setFillPaint(new GradientPaint(1.0f,2.0f,Color.red,3.0f,4.0f,Color.blue));assertTrue(n1.equals(n2));n1.setOutlinePaint(new GradientPaint(5.0f,6.0f,Color.red,7.0f,8.0f,Color.blue));assertFalse(n1.equals(n2));n2.setOutlinePaint(new GradientPaint(5.0f,6.0f,Color.red,7.0f,8.0f,Color.blue));assertTrue(n1.equals(n2));n1.setHighlightPaint(new GradientPaint(9.0f,0.0f,Color.red,1.0f,2.0f,Color.blue));assertFalse(n1.equals(n2));n2.setHighlightPaint(new GradientPaint(9.0f,0.0f,Color.red,1.0f,2.0f,Color.blue));assertTrue(n1.equals(n2));Stroke s=new BasicStroke(1.23f);n1.setOutlineStroke(s);assertFalse(n1.equals(n2));n2.setOutlineStroke(s);assertTrue(n1.equals(n2));n1.setRotateX(1.23);assertFalse(n1.equals(n2));n2.setRotateX(1.23);assertTrue(n1.equals(n2));n1.setRotateY(4.56);assertFalse(n1.equals(n2));n2.setRotateY(4.56);assertTrue(n1.equals(n2));n1.setSize(11);assertFalse(n1.equals(n2));n2.setSize(11);assertTrue(n1.equals(n2));}"
"org.jfree.chart.entity.junit.StandardEntityCollectionTests.testEquals",0,"/** * Confirm that the equals method can distinguish all the required fields.*/public void testEquals(){StandardEntityCollection c1=new StandardEntityCollection();StandardEntityCollection c2=new StandardEntityCollection();assertTrue(c1.equals(c2));PieSectionEntity e1=new PieSectionEntity(new Rectangle2D.Double(1.0,2.0,3.0,4.0),new DefaultPieDataset(),0,1,""Key"",""ToolTip"",""URL"");c1.add(e1);assertFalse(c1.equals(c2));PieSectionEntity e2=new PieSectionEntity(new Rectangle2D.Double(1.0,2.0,3.0,4.0),new DefaultPieDataset(),0,1,""Key"",""ToolTip"",""URL"");c2.add(e2);assertTrue(c1.equals(c2));}"
