test_case,faulty,test_code
"org.apache.commons.cli.CommandLineTest.testGetOptionProperties",0,"public void testGetOptionProperties()throws Exception {String[]args=new String[]{""-Dparam1=value1"",""-Dparam2=value2"",""-Dparam3"",""-Dparam4=value4"",""-D"",""--property"",""foo=bar""};Options options=new Options();options.addOption(OptionBuilder.withValueSeparator().hasOptionalArgs(2).create('D'));options.addOption(OptionBuilder.withValueSeparator().hasArgs(2).withLongOpt(""property"").create());Parser parser=new GnuParser();CommandLine cl=parser.parse(options,args);Properties props=cl.getOptionProperties(""D"");assertNotNull(""null properties"",props);assertEquals(""number of properties in "" + props,4,props.size());assertEquals(""property 1"",""value1"",props.getProperty(""param1""));assertEquals(""property 2"",""value2"",props.getProperty(""param2""));assertEquals(""property 3"",""true"",props.getProperty(""param3""));assertEquals(""property 4"",""value4"",props.getProperty(""param4""));assertEquals(""property with long format"",""bar"",cl.getOptionProperties(""property"").getProperty(""foo""));}"
"org.apache.commons.cli.OptionTest.testClear",0,"public void testClear(){TestOption option=new TestOption(""x"",true,"""");assertEquals(0,option.getValuesList().size());option.addValue(""a"");assertEquals(1,option.getValuesList().size());option.clearValues();assertEquals(0,option.getValuesList().size());}"
"org.apache.commons.cli.OptionTest.testClone",0,"public void testClone()throws CloneNotSupportedException {TestOption a=new TestOption(""a"",true,"""");TestOption b=(TestOption)a.clone();assertEquals(a,b);assertNotSame(a,b);a.setDescription(""a"");assertEquals("""",b.getDescription());b.setArgs(2);b.addValue(""b1"");b.addValue(""b2"");assertEquals(1,a.getArgs());assertEquals(0,a.getValuesList().size());assertEquals(2,b.getValues().length);}"
"org.apache.commons.cli.OptionTest.testSubclass",0,"public void testSubclass()throws CloneNotSupportedException {Option option=new DefaultOption(""f"",""file"",""myfile.txt"");Option clone=(Option)option.clone();assertEquals(""myfile.txt"",clone.getValue());assertEquals(DefaultOption.class,clone.getClass());}"
"org.apache.commons.cli.OptionTest.testHasArgName",0,"public void testHasArgName(){Option option=new Option(""f"",null);option.setArgName(null);assertFalse(option.hasArgName());option.setArgName("""");assertFalse(option.hasArgName());option.setArgName(""file"");assertTrue(option.hasArgName());}"
"org.apache.commons.cli.OptionTest.testHasArgs",0,"public void testHasArgs(){Option option=new Option(""f"",null);option.setArgs(0);assertFalse(option.hasArgs());option.setArgs(1);assertFalse(option.hasArgs());option.setArgs(10);assertTrue(option.hasArgs());option.setArgs(Option.UNLIMITED_VALUES);assertTrue(option.hasArgs());option.setArgs(Option.UNINITIALIZED);assertFalse(option.hasArgs());}"
"org.apache.commons.cli.OptionTest.testGetValue",0,"public void testGetValue(){Option option=new Option(""f"",null);option.setArgs(Option.UNLIMITED_VALUES);assertEquals(""default"",option.getValue(""default""));assertEquals(null,option.getValue(0));option.addValueForProcessing(""foo"");assertEquals(""foo"",option.getValue());assertEquals(""foo"",option.getValue(0));assertEquals(""foo"",option.getValue(""default""));}"
"org.apache.commons.cli.BasicParserTest.testDoubleDash2",0,"public void testDoubleDash2()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testLongWithoutEqualSingleDash",0,"public void testLongWithoutEqualSingleDash()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testAmbiguousLongWithoutEqualSingleDash",0,"public void testAmbiguousLongWithoutEqualSingleDash()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testNegativeOption",0,"public void testNegativeOption()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testPropertiesOption1",0,"public void testPropertiesOption1()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testPropertiesOption2",0,"public void testPropertiesOption2()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testShortWithEqual",0,"public void testShortWithEqual()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testShortWithoutEqual",0,"public void testShortWithoutEqual()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testLongWithEqualDoubleDash",0,"public void testLongWithEqualDoubleDash()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testLongWithEqualSingleDash",0,"public void testLongWithEqualSingleDash()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testUnambiguousPartialLongOption1",0,"public void testUnambiguousPartialLongOption1()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testUnambiguousPartialLongOption2",0,"public void testUnambiguousPartialLongOption2()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testUnambiguousPartialLongOption3",0,"public void testUnambiguousPartialLongOption3()throws Exception {}"
"org.apache.commons.cli.BasicParserTest.testUnambiguousPartialLongOption4",0,"public void testUnambiguousPartialLongOption4()throws Exception {}"
