test_case,faulty,test_code
"org.apache.commons.codec.digest.Sha2CryptTest.testCtor",0,"@Test public void testCtor(){assertNotNull(new Sha2Crypt());}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testCodec130",0,"/** * Tests the problem reported in CODEC-130. Missing / wrong implementation of skip.*/@Test public void testCodec130()throws IOException {final ByteArrayOutputStream bos=new ByteArrayOutputStream();final Base64OutputStream base64os=new Base64OutputStream(bos);base64os.write(StringUtils.getBytesUtf8(STRING_FIXTURE));base64os.close();final ByteArrayInputStream bis=new ByteArrayInputStream(bos.toByteArray());final Base64InputStream ins=new Base64InputStream(bis);ins.skip(1);final byte[]decodedBytes=Base64TestData.streamToBytes(ins,new byte[64]);final String str=StringUtils.newStringUtf8(decodedBytes);assertEquals(STRING_FIXTURE.substring(1),str);}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testCodec105",0,"/** * Tests the bug reported in CODEC-105. Bad interactions with InputStream when reading one byte at a time.*/@Test public void testCodec105()throws IOException {final Base64InputStream in=new Base64InputStream(new Codec105ErrorInputStream(),true,0,null);try {for (int i=0;i < 5;i++){in.read();}}finally {in.close();}}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testCodec101",0,"/** * Test for the CODEC-101 bug: InputStream.read(byte[])should never return 0 because Java's builtin InputStreamReader hates that.* @throws Exception for some failure scenarios.*/@Test public void testCodec101()throws Exception {final byte[]codec101=StringUtils.getBytesUtf8(Base64TestData.CODEC_101_MULTIPLE_OF_3);final ByteArrayInputStream bais=new ByteArrayInputStream(codec101);final Base64InputStream in=new Base64InputStream(bais);final byte[]result=new byte[8192];int c=in.read(result);assertTrue(""Codec101: First read successful [c="" + c + ""]"",c > 0);c=in.read(result);assertTrue(""Codec101: Second read should report end-of-stream [c="" + c + ""]"",c < 0);in.close();}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testInputStreamReader",0,"/** * Another test for the CODEC-101 bug: In commons-codec-1.4 this test shows InputStreamReader explicitly hating an InputStream.read(byte[])return of 0: java.io.IOException: Underlying input stream returned zero bytes at sun.nio.cs.StreamDecoder.readBytes(StreamDecoder.java:268)at sun.nio.cs.StreamDecoder.implRead(StreamDecoder.java:306)at sun.nio.cs.StreamDecoder.read(StreamDecoder.java:158)at java.io.InputStreamReader.read(InputStreamReader.java:167)at java.io.BufferedReader.fill(BufferedReader.java:136)at java.io.BufferedReader.readLine(BufferedReader.java:299)at java.io.BufferedReader.readLine(BufferedReader.java:362)at org.apache.commons.codec.binary.Base64InputStreamTest.testInputStreamReader(Base64InputStreamTest.java:75)But in commons-codec-1.5 it's fixed. :-)* @throws Exception for some failure scenarios.*/@Test public void testInputStreamReader()throws Exception {final byte[]codec101=StringUtils.getBytesUtf8(Base64TestData.CODEC_101_MULTIPLE_OF_3);final ByteArrayInputStream bais=new ByteArrayInputStream(codec101);final Base64InputStream in=new Base64InputStream(bais);final InputStreamReader isr=new InputStreamReader(in);final BufferedReader br=new BufferedReader(isr);final String line=br.readLine();assertNotNull(""Codec101:  InputStreamReader works!"",line);br.close();}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testCodec98NPE",0,"/** * Test the Base64InputStream implementation against the special NPE inducing input identified in the CODEC-98 bug.* @throws Exception for some failure scenarios.*/@Test public void testCodec98NPE()throws Exception {final byte[]codec98=StringUtils.getBytesUtf8(Base64TestData.CODEC_98_NPE);final ByteArrayInputStream data=new ByteArrayInputStream(codec98);final Base64InputStream stream=new Base64InputStream(data);final byte[]decodedBytes=Base64TestData.streamToBytes(stream,new byte[1024]);final String decoded=StringUtils.newStringUtf8(decodedBytes);assertEquals(""codec-98 NPE Base64InputStream"",Base64TestData.CODEC_98_NPE_DECODED,decoded);}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testAvailable",0,"/** * Tests skipping past the end of a stream.* @throws Throwable*/@Test public void testAvailable()throws Throwable {final InputStream ins=new ByteArrayInputStream(StringUtils.getBytesIso8859_1(ENCODED_B64));final Base64InputStream b64stream=new Base64InputStream(ins);assertEquals(1,b64stream.available());assertEquals(6,b64stream.skip(10));assertEquals(0,b64stream.available());assertEquals(-1,b64stream.read());assertEquals(-1,b64stream.read());assertEquals(0,b64stream.available());b64stream.close();}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testBase64EmptyInputStreamMimeChuckSize",0,"/** * Tests the Base64InputStream implementation against empty input.* @throws Exception for some failure scenarios.*/@Test public void testBase64EmptyInputStreamMimeChuckSize()throws Exception {testBase64EmptyInputStream(BaseNCodec.MIME_CHUNK_SIZE);}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testBase64EmptyInputStreamPemChuckSize",0,"/** * Tests the Base64InputStream implementation against empty input.* @throws Exception for some failure scenarios.*/@Test public void testBase64EmptyInputStreamPemChuckSize()throws Exception {testBase64EmptyInputStream(BaseNCodec.PEM_CHUNK_SIZE);}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testBase64InputStreamByChunk",0,"/** * Tests the Base64InputStream implementation.* @throws Exception for some failure scenarios.*/@Test public void testBase64InputStreamByChunk()throws Exception {byte[]encoded=StringUtils.getBytesUtf8(""SGVsbG8gV29ybGQ=\r\n"");byte[]decoded=StringUtils.getBytesUtf8(STRING_FIXTURE);testByChunk(encoded,decoded,BaseNCodec.MIME_CHUNK_SIZE,CRLF);encoded=StringUtils.getBytesUtf8(""AA==\r\n"");decoded=new byte[]{(byte)0};testByChunk(encoded,decoded,BaseNCodec.MIME_CHUNK_SIZE,CRLF);encoded=StringUtils.getBytesUtf8(Base64TestData.ENCODED_64_CHARS_PER_LINE);decoded=Base64TestData.DECODED;testByChunk(encoded,decoded,BaseNCodec.PEM_CHUNK_SIZE,LF);final String singleLine=Base64TestData.ENCODED_64_CHARS_PER_LINE.replaceAll(""\n"","""");encoded=StringUtils.getBytesUtf8(singleLine);decoded=Base64TestData.DECODED;testByChunk(encoded,decoded,0,LF);for (int i=0;i <= 150;i++){final byte[][]randomData=Base64TestData.randomData(i,false);encoded=randomData[1];decoded=randomData[0];testByChunk(encoded,decoded,0,LF);}}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testBase64InputStreamByteByByte",0,"/** * Tests the Base64InputStream implementation.* @throws Exception for some failure scenarios.*/@Test public void testBase64InputStreamByteByByte()throws Exception {byte[]encoded=StringUtils.getBytesUtf8(""SGVsbG8gV29ybGQ=\r\n"");byte[]decoded=StringUtils.getBytesUtf8(STRING_FIXTURE);testByteByByte(encoded,decoded,BaseNCodec.MIME_CHUNK_SIZE,CRLF);encoded=StringUtils.getBytesUtf8(""AA==\r\n"");decoded=new byte[]{(byte)0};testByteByByte(encoded,decoded,BaseNCodec.MIME_CHUNK_SIZE,CRLF);encoded=StringUtils.getBytesUtf8(Base64TestData.ENCODED_64_CHARS_PER_LINE);decoded=Base64TestData.DECODED;testByteByByte(encoded,decoded,BaseNCodec.PEM_CHUNK_SIZE,LF);final String singleLine=Base64TestData.ENCODED_64_CHARS_PER_LINE.replaceAll(""\n"","""");encoded=StringUtils.getBytesUtf8(singleLine);decoded=Base64TestData.DECODED;testByteByByte(encoded,decoded,0,LF);for (int i=0;i <= 150;i++){final byte[][]randomData=Base64TestData.randomData(i,false);encoded=randomData[1];decoded=randomData[0];testByteByByte(encoded,decoded,0,LF);}}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testMarkSupported",0,"/** * Tests markSupported.* @throws Exception*/@Test public void testMarkSupported()throws Exception {final byte[]decoded=StringUtils.getBytesUtf8(STRING_FIXTURE);final ByteArrayInputStream bin=new ByteArrayInputStream(decoded);final Base64InputStream in=new Base64InputStream(bin,true,4,new byte[]{0,0,0});assertFalse(""Base64InputStream.markSupported()is false"",in.markSupported());in.close();}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testRead0",0,"/** * Tests read returning 0* @throws Exception*/@Test public void testRead0()throws Exception {final byte[]decoded=StringUtils.getBytesUtf8(STRING_FIXTURE);final byte[]buf=new byte[1024];int bytesRead=0;final ByteArrayInputStream bin=new ByteArrayInputStream(decoded);final Base64InputStream in=new Base64InputStream(bin,true,4,new byte[]{0,0,0});bytesRead=in.read(buf,0,0);assertEquals(""Base64InputStream.read(buf,0,0)returns 0"",0,bytesRead);in.close();}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testReadNull",0,"/** * Tests read with null.* @throws Exception for some failure scenarios.*/@Test public void testReadNull()throws Exception {final byte[]decoded=StringUtils.getBytesUtf8(STRING_FIXTURE);final ByteArrayInputStream bin=new ByteArrayInputStream(decoded);final Base64InputStream in=new Base64InputStream(bin,true,4,new byte[]{0,0,0});try {in.read(null,0,0);fail(""Base64InputStream.read(null,0,0)to throw a NullPointerException"");}catch(final NullPointerException e){}in.close();}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testReadOutOfBounds",0,"/** * Tests read throwing IndexOutOfBoundsException* @throws Exception*/@Test public void testReadOutOfBounds()throws Exception {final byte[]decoded=StringUtils.getBytesUtf8(STRING_FIXTURE);final byte[]buf=new byte[1024];final ByteArrayInputStream bin=new ByteArrayInputStream(decoded);final Base64InputStream in=new Base64InputStream(bin,true,4,new byte[]{0,0,0});try {in.read(buf,-1,0);fail(""Expected Base64InputStream.read(buf,-1,0)to throw IndexOutOfBoundsException"");}catch(final IndexOutOfBoundsException e){}try {in.read(buf,0,-1);fail(""Expected Base64InputStream.read(buf,0,-1)to throw IndexOutOfBoundsException"");}catch(final IndexOutOfBoundsException e){}try {in.read(buf,buf.length + 1,0);fail(""Base64InputStream.read(buf,buf.length + 1,0)throws IndexOutOfBoundsException"");}catch(final IndexOutOfBoundsException e){}try {in.read(buf,buf.length - 1,2);fail(""Base64InputStream.read(buf,buf.length - 1,2)throws IndexOutOfBoundsException"");}catch(final IndexOutOfBoundsException e){}in.close();}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testSkipBig",0,"/** * Tests skipping number of characters larger than the internal buffer.* @throws Throwable*/@Test public void testSkipBig()throws Throwable {final InputStream ins=new ByteArrayInputStream(StringUtils.getBytesIso8859_1(ENCODED_B64));final Base64InputStream b64stream=new Base64InputStream(ins);assertEquals(6,b64stream.skip(Integer.MAX_VALUE));assertEquals(-1,b64stream.read());assertEquals(-1,b64stream.read());b64stream.close();}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testSkipNone",0,"/** * Tests skipping as a noop* @throws Throwable*/@Test public void testSkipNone()throws Throwable {final InputStream ins=new ByteArrayInputStream(StringUtils.getBytesIso8859_1(ENCODED_B64));final Base64InputStream b64stream=new Base64InputStream(ins);final byte[]actualBytes=new byte[6];assertEquals(0,b64stream.skip(0));b64stream.read(actualBytes,0,actualBytes.length);assertArrayEquals(actualBytes,new byte[]{0,0,0,(byte)255,(byte)255,(byte)255});assertEquals(-1,b64stream.read());b64stream.close();}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testSkipPastEnd",0,"/** * Tests skipping past the end of a stream.* @throws Throwable*/@Test public void testSkipPastEnd()throws Throwable {final InputStream ins=new ByteArrayInputStream(StringUtils.getBytesIso8859_1(ENCODED_B64));final Base64InputStream b64stream=new Base64InputStream(ins);assertEquals(6,b64stream.skip(10));assertEquals(-1,b64stream.read());assertEquals(-1,b64stream.read());b64stream.close();}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testSkipToEnd",0,"/** * Tests skipping to the end of a stream.* @throws Throwable*/@Test public void testSkipToEnd()throws Throwable {final InputStream ins=new ByteArrayInputStream(StringUtils.getBytesIso8859_1(ENCODED_B64));final Base64InputStream b64stream=new Base64InputStream(ins);assertEquals(6,b64stream.skip(6));assertEquals(-1,b64stream.read());assertEquals(-1,b64stream.read());b64stream.close();}"
"org.apache.commons.codec.binary.Base64InputStreamTest.testSkipWrongArgument",0,"/** * Tests if negative arguments to skip are handled correctly.* @throws Throwable*/@Test(expected=IllegalArgumentException.class)public void testSkipWrongArgument()throws Throwable {final InputStream ins=new ByteArrayInputStream(StringUtils.getBytesIso8859_1(ENCODED_B64));final Base64InputStream b64stream=new Base64InputStream(ins);b64stream.skip(-10);b64stream.close();}"
"org.apache.commons.codec.language.Caverphone2Test.testCaverphoneRevisitedCommonCodeAT11111111",0,"/** * See http://caversham.otago.ac.nz/files/working/ctp150804.pdf AT11111111 words: add,aid,at,art,eat,earth,head,hit,hot,hold,hard,heart,it,out,old* @throws EncoderException*/@Test public void testCaverphoneRevisitedCommonCodeAT11111111()throws EncoderException {this.checkEncodingVariations(""AT11111111"",new String[]{""add"",""aid"",""at"",""art"",""eat"",""earth"",""head"",""hit"",""hot"",""hold"",""hard"",""heart"",""it"",""out"",""old""});}"
