test_case,faulty,test_code
"org.apache.commons.compress.archivers.zip.ZipFileTest.testCDOrder",0,"public void testCDOrder()throws Exception {readOrderTest();ArrayList<ZipArchiveEntry> l=Collections.list(zf.getEntries());assertEntryName(l,0,""AbstractUnicodeExtraField"");assertEntryName(l,1,""AsiExtraField"");assertEntryName(l,2,""ExtraFieldUtils"");assertEntryName(l,3,""FallbackZipEncoding"");assertEntryName(l,4,""GeneralPurposeBit"");assertEntryName(l,5,""JarMarker"");assertEntryName(l,6,""NioZipEncoding"");assertEntryName(l,7,""Simple8BitZipEncoding"");assertEntryName(l,8,""UnicodeCommentExtraField"");assertEntryName(l,9,""UnicodePathExtraField"");assertEntryName(l,10,""UnixStat"");assertEntryName(l,11,""UnparseableExtraFieldData"");assertEntryName(l,12,""UnrecognizedExtraField"");assertEntryName(l,13,""ZipArchiveEntry"");assertEntryName(l,14,""ZipArchiveInputStream"");assertEntryName(l,15,""ZipArchiveOutputStream"");assertEntryName(l,16,""ZipEncoding"");assertEntryName(l,17,""ZipEncodingHelper"");assertEntryName(l,18,""ZipExtraField"");assertEntryName(l,19,""ZipUtil"");assertEntryName(l,20,""ZipLong"");assertEntryName(l,21,""ZipShort"");assertEntryName(l,22,""ZipFile"");}"
"org.apache.commons.compress.archivers.zip.ZipFileTest.testPhysicalOrder",0,"public void testPhysicalOrder()throws Exception {readOrderTest();ArrayList<ZipArchiveEntry> l=Collections.list(zf.getEntriesInPhysicalOrder());assertEntryName(l,0,""AbstractUnicodeExtraField"");assertEntryName(l,1,""AsiExtraField"");assertEntryName(l,2,""ExtraFieldUtils"");assertEntryName(l,3,""FallbackZipEncoding"");assertEntryName(l,4,""GeneralPurposeBit"");assertEntryName(l,5,""JarMarker"");assertEntryName(l,6,""NioZipEncoding"");assertEntryName(l,7,""Simple8BitZipEncoding"");assertEntryName(l,8,""UnicodeCommentExtraField"");assertEntryName(l,9,""UnicodePathExtraField"");assertEntryName(l,10,""UnixStat"");assertEntryName(l,11,""UnparseableExtraFieldData"");assertEntryName(l,12,""UnrecognizedExtraField"");assertEntryName(l,13,""ZipArchiveEntry"");assertEntryName(l,14,""ZipArchiveInputStream"");assertEntryName(l,15,""ZipArchiveOutputStream"");assertEntryName(l,16,""ZipEncoding"");assertEntryName(l,17,""ZipEncodingHelper"");assertEntryName(l,18,""ZipExtraField"");assertEntryName(l,19,""ZipFile"");assertEntryName(l,20,""ZipLong"");assertEntryName(l,21,""ZipShort"");assertEntryName(l,22,""ZipUtil"");}"
"org.apache.commons.compress.archivers.zip.ZipFileTest.testDoubleClose",0,"public void testDoubleClose()throws Exception {readOrderTest();zf.close();try {zf.close();}catch(Exception ex){fail(""Caught exception of second close"");}}"
"org.apache.commons.compress.archivers.zip.ZipFileTest.testReadingOfStoredEntry",0,"public void testReadingOfStoredEntry()throws Exception {File f=File.createTempFile(""commons-compress-zipfiletest"","".zip"");f.deleteOnExit();OutputStream o=null;InputStream i=null;try {o=new FileOutputStream(f);ZipArchiveOutputStream zo=new ZipArchiveOutputStream(o);ZipArchiveEntry ze=new ZipArchiveEntry(""foo"");ze.setMethod(ZipEntry.STORED);ze.setSize(4);ze.setCrc(0xb63cfbcdl);zo.putArchiveEntry(ze);zo.write(new byte[]{1,2,3,4});zo.closeArchiveEntry();zo.close();o.close();o=null;zf=new ZipFile(f);ze=zf.getEntry(""foo"");assertNotNull(ze);i=zf.getInputStream(ze);byte[]b=new byte[4];assertEquals(4,i.read(b));assertEquals(-1,i.read());}finally {if (o != null){o.close();}if (i != null){i.close();}f.delete();}}"
"org.apache.commons.compress.archivers.zip.ZipFileTest.testWinzipBackSlashWorkaround",0,"/** * @see ""https://issues.apache.org/jira/browse/COMPRESS-176""*/public void testWinzipBackSlashWorkaround()throws Exception {File archive=getFile(""test-winzip.zip"");zf=new ZipFile(archive);assertNull(zf.getEntry(""\u00e4\\\u00fc.txt""));assertNotNull(zf.getEntry(""\u00e4/\u00fc.txt""));}"
"org.apache.commons.compress.archivers.zip.ZipFileTest.testSkipsPK00Prefix",0,"/** * Test case for  <a href=""https://issues.apache.org/jira/browse/COMPRESS-208"" >COMPRESS-208</a>.*/public void testSkipsPK00Prefix()throws Exception {File archive=getFile(""COMPRESS-208.zip"");zf=new ZipFile(archive);assertNotNull(zf.getEntry(""test1.xml""));assertNotNull(zf.getEntry(""test2.xml""));}"
"org.apache.commons.compress.archivers.zip.ZipFileTest.testUnixSymlinkSampleFile",0,"public void testUnixSymlinkSampleFile()throws Exception {final String entryPrefix=""COMPRESS-214_unix_symlinks/"";final TreeMap<String,String> expectedVals=new TreeMap<String,String>();expectedVals.put(entryPrefix + ""link1"",""../COMPRESS-214_unix_symlinks/./a/b/c/../../../\uF999"");expectedVals.put(entryPrefix + ""link2"",""../COMPRESS-214_unix_symlinks/./a/b/c/../../../g"");expectedVals.put(entryPrefix + ""link3"",""../COMPRESS-214_unix_symlinks/././a/b/c/../../../\u76F4\u6A39"");expectedVals.put(entryPrefix + ""link4"",""\u82B1\u5B50/\u745B\u5B50"");expectedVals.put(entryPrefix + ""\uF999"",""./\u82B1\u5B50/\u745B\u5B50/\u5897\u8C37/\uF999"");expectedVals.put(entryPrefix + ""g"",""./a/b/c/d/e/f/g"");expectedVals.put(entryPrefix + ""\u76F4\u6A39"",""./g"");expectedVals.put(entryPrefix + ""link5"",""../COMPRESS-214_unix_symlinks/././a/b"");expectedVals.put(entryPrefix + ""link6"",""../COMPRESS-214_unix_symlinks/././a/b/"");File archive=getFile(""COMPRESS-214_unix_symlinks.zip"");zf=new ZipFile(archive);Enumeration<ZipArchiveEntry> en=zf.getEntries();while (en.hasMoreElements()){ZipArchiveEntry zae=en.nextElement();String link=zf.getUnixSymlink(zae);if (zae.isUnixSymlink()){String name=zae.getName();String expected=expectedVals.get(name);assertEquals(expected,link);}else {assertNull(link);}}}"
"org.apache.commons.compress.archivers.zip.ZipFileTest.testDuplicateEntry",0,"/** * @see ""https://issues.apache.org/jira/browse/COMPRESS-227""*/public void testDuplicateEntry()throws Exception {File archive=getFile(""COMPRESS-227.zip"");zf=new ZipFile(archive);ZipArchiveEntry ze=zf.getEntry(""test1.txt"");assertNotNull(ze);assertNotNull(zf.getInputStream(ze));int numberOfEntries=0;for(ZipArchiveEntry entry : zf.getEntries(""test1.txt"")){numberOfEntries++;assertNotNull(zf.getInputStream(entry));}assertEquals(2,numberOfEntries);}"
"org.apache.commons.compress.archivers.zip.ZipFileTest.testExcessDataInZip64ExtraField",0,"/** * @see ""https://issues.apache.org/jira/browse/COMPRESS-228""*/public void testExcessDataInZip64ExtraField()throws Exception {File archive=getFile(""COMPRESS-228.zip"");zf=new ZipFile(archive);ZipArchiveEntry ze=zf.getEntry(""src/main/java/org/apache/commons/compress/archivers/zip/ZipFile.java"");assertEquals(26101,ze.getSize());}"
"org.apache.commons.compress.archivers.LongPathTest.testArchive",0,"public void testArchive(){}"
