test_case,faulty,test_code
"org.apache.commons.csv.CSVFileParserTest.testCSVFile",0,"@Test public void testCSVFile()throws Exception {String line=readTestData();assertNotNull(""file must contain config line"",line);final String[]split=line.split("" "");assertTrue(testName + "" require 1 param"",split.length >= 1);final BufferedReader csvFile=new BufferedReader(new FileReader(new File(BASE,split[0])));final CSVFormatBuilder builder=CSVFormat.newBuilder(',').withQuoteChar('""');CSVFormat format=builder.build();boolean checkComments=false;for (int i=1;i < split.length;i++){final String option=split[i];final String[]option_parts=option.split(""="",2);if (""IgnoreEmpty"".equalsIgnoreCase(option_parts[0])){format=builder.withIgnoreEmptyLines(Boolean.parseBoolean(option_parts[1])).build();}else     if (""IgnoreSpaces"".equalsIgnoreCase(option_parts[0])){format=builder.withIgnoreSurroundingSpaces(Boolean.parseBoolean(option_parts[1])).build();}else     if (""CommentStart"".equalsIgnoreCase(option_parts[0])){format=builder.withCommentStart(option_parts[1].charAt(0)).build();}else     if (""CheckComments"".equalsIgnoreCase(option_parts[0])){checkComments=true;}else {fail(testName + "" unexpected option: "" + option);}}line=readTestData();assertEquals(testName + "" Expected format "",line,format.toString());for(final CSVRecord record : format.parse(csvFile)){String parsed=record.toString();if (checkComments){final String comment=record.getComment().replace(""\n"",""\\n"");if (comment != null){parsed+=""#"" + comment;}}final int count=record.size();assertEquals(testName,readTestData(),count + "":"" + parsed);}}"
"org.apache.commons.csv.CSVRecordTest.testGetInt",0,"@Test public void testGetInt(){assertEquals(values[0],record.get(0));assertEquals(values[1],record.get(1));assertEquals(values[2],record.get(2));}"
"org.apache.commons.csv.CSVRecordTest.testGetString",0,"@Test public void testGetString(){assertEquals(values[0],recordWithHeader.get(""first""));assertEquals(values[1],recordWithHeader.get(""second""));assertEquals(values[2],recordWithHeader.get(""third""));}"
"org.apache.commons.csv.CSVRecordTest.testGetStringNoHeader",0,"@Test(expected=IllegalStateException.class)public void testGetStringNoHeader(){record.get(""first"");}"
"org.apache.commons.csv.CSVRecordTest.testGetStringInconsistentRecord",1,"@Test(expected=IllegalArgumentException.class)public void testGetStringInconsistentRecord(){header.put(""fourth"",Integer.valueOf(4));recordWithHeader.get(""fourth"");}"
"org.apache.commons.csv.CSVRecordTest.testIsConsistent",0,"@Test public void testIsConsistent(){assertTrue(record.isConsistent());assertTrue(recordWithHeader.isConsistent());header.put(""fourth"",Integer.valueOf(4));assertFalse(recordWithHeader.isConsistent());}"
"org.apache.commons.csv.CSVRecordTest.testIsMapped",0,"@Test public void testIsMapped(){assertFalse(record.isMapped(""first""));assertTrue(recordWithHeader.isMapped(""first""));assertFalse(recordWithHeader.isMapped(""fourth""));}"
"org.apache.commons.csv.CSVRecordTest.testIsSet",0,"@Test public void testIsSet(){assertFalse(record.isSet(""first""));assertTrue(recordWithHeader.isSet(""first""));assertFalse(recordWithHeader.isSet(""fourth""));}"
"org.apache.commons.csv.CSVRecordTest.testIterator",0,"@Test public void testIterator(){int i=0;for (Iterator<String> itr=record.iterator();itr.hasNext();){String value=itr.next();assertEquals(values[i],value);i++;}}"
"org.apache.commons.csv.CSVFormatTest.testFormat",0,"@Test public void testFormat(){final CSVFormat format=CSVFormat.DEFAULT;assertEquals("""",format.format());assertEquals(""a,b,c"",format.format(""a"",""b"",""c""));assertEquals(""\""x,y\"",z"",format.format(""x,y"",""z""));}"
"org.apache.commons.csv.CSVFormatTest.testSerialization",0,"@SuppressWarnings(""boxing"")@Test public void testSerialization()throws Exception {final ByteArrayOutputStream out=new ByteArrayOutputStream();final ObjectOutputStream oos=new ObjectOutputStream(out);oos.writeObject(CSVFormat.DEFAULT);oos.flush();oos.close();final ObjectInputStream in=new ObjectInputStream(new ByteArrayInputStream(out.toByteArray()));final CSVFormat format=(CSVFormat)in.readObject();assertNotNull(format);assertEquals(""delimiter"",CSVFormat.DEFAULT.getDelimiter(),format.getDelimiter());assertEquals(""encapsulator"",CSVFormat.DEFAULT.getQuoteChar(),format.getQuoteChar());assertEquals(""comment start"",CSVFormat.DEFAULT.getCommentStart(),format.getCommentStart());assertEquals(""line separator"",CSVFormat.DEFAULT.getRecordSeparator(),format.getRecordSeparator());assertEquals(""escape"",CSVFormat.DEFAULT.getEscape(),format.getEscape());assertEquals(""trim"",CSVFormat.DEFAULT.getIgnoreSurroundingSpaces(),format.getIgnoreSurroundingSpaces());assertEquals(""empty lines"",CSVFormat.DEFAULT.getIgnoreEmptyLines(),format.getIgnoreEmptyLines());}"
"org.apache.commons.csv.CSVFormatTest.testEquals",0,"@Test public void testEquals(){final CSVFormat right=CSVFormat.DEFAULT;final CSVFormat left=CSVFormat.newBuilder().build();assertFalse(right.equals(null));assertFalse(right.equals(""A String Instance""));assertEquals(right,right);assertEquals(right,left);assertEquals(left,right);assertEquals(right.hashCode(),right.hashCode());assertEquals(right.hashCode(),left.hashCode());}"
"org.apache.commons.csv.CSVFormatTest.testEqualsDelimiter",0,"@Test public void testEqualsDelimiter(){final CSVFormat right=CSVFormat.newBuilder('!').build();final CSVFormat left=CSVFormat.newBuilder('?').build();assertNotEquals(right,left);}"
"org.apache.commons.csv.CSVFormatTest.testEqualsQuoteChar",0,"@Test public void testEqualsQuoteChar(){final CSVFormat right=CSVFormat.newBuilder('\'').withQuoteChar('""').build();final CSVFormat left=CSVFormat.newBuilder(right).withQuoteChar('!').build();assertNotEquals(right,left);}"
"org.apache.commons.csv.CSVFormatTest.testEqualsQuotePolicy",0,"@Test public void testEqualsQuotePolicy(){final CSVFormat right=CSVFormat.newBuilder('\'').withQuoteChar('""').withQuotePolicy(Quote.ALL).build();final CSVFormat left=CSVFormat.newBuilder(right).withQuotePolicy(Quote.MINIMAL).build();assertNotEquals(right,left);}"
"org.apache.commons.csv.CSVFormatTest.testEqualsCommentStart",0,"@Test public void testEqualsCommentStart(){final CSVFormat right=CSVFormat.newBuilder('\'').withQuoteChar('""').withQuotePolicy(Quote.ALL).withCommentStart('#').build();final CSVFormat left=CSVFormat.newBuilder(right).withCommentStart('!').build();assertNotEquals(right,left);}"
"org.apache.commons.csv.CSVFormatTest.testEqualsEscape",0,"@Test public void testEqualsEscape(){final CSVFormat right=CSVFormat.newBuilder('\'').withQuoteChar('""').withQuotePolicy(Quote.ALL).withCommentStart('#').withEscape('+').build();final CSVFormat left=CSVFormat.newBuilder(right).withEscape('!').build();assertNotEquals(right,left);}"
"org.apache.commons.csv.CSVFormatTest.testEqualsIgnoreSurroundingSpaces",0,"@Test public void testEqualsIgnoreSurroundingSpaces(){final CSVFormat right=CSVFormat.newBuilder('\'').withQuoteChar('""').withQuotePolicy(Quote.ALL).withCommentStart('#').withEscape('+').withIgnoreSurroundingSpaces(true).build();final CSVFormat left=CSVFormat.newBuilder(right).withIgnoreSurroundingSpaces(false).build();assertNotEquals(right,left);}"
"org.apache.commons.csv.CSVFormatTest.testEqualsIgnoreEmptyLines",0,"@Test public void testEqualsIgnoreEmptyLines(){final CSVFormat right=CSVFormat.newBuilder('\'').withQuoteChar('""').withQuotePolicy(Quote.ALL).withCommentStart('#').withEscape('+').withIgnoreSurroundingSpaces(true).withIgnoreEmptyLines(true).build();final CSVFormat left=CSVFormat.newBuilder(right).withIgnoreEmptyLines(false).build();assertNotEquals(right,left);}"
