test_case,faulty,test_code
"com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testClassAnnotationAdapterTakesPrecedenceOverDefault",0,"public void testClassAnnotationAdapterTakesPrecedenceOverDefault(){Gson gson=new Gson();String json=gson.toJson(new Computer(new User(""Inderjeet Singh"")));assertEquals(""{\""user\"":\""UserClassAnnotationAdapter\""}"",json);Computer computer=gson.fromJson(""{'user':'Inderjeet Singh'}"",Computer.class);assertEquals(""UserClassAnnotationAdapter"",computer.user.name);}"
"com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testClassAnnotationAdapterFactoryTakesPrecedenceOverDefault",0,"public void testClassAnnotationAdapterFactoryTakesPrecedenceOverDefault(){Gson gson=new Gson();String json=gson.toJson(new Gizmo(new Part(""Part"")));assertEquals(""{\""part\"":\""GizmoPartTypeAdapterFactory\""}"",json);Gizmo computer=gson.fromJson(""{'part':'Part'}"",Gizmo.class);assertEquals(""GizmoPartTypeAdapterFactory"",computer.part.name);}"
"com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testRegisteredTypeAdapterTakesPrecedenceOverClassAnnotationAdapter",0,"public void testRegisteredTypeAdapterTakesPrecedenceOverClassAnnotationAdapter(){Gson gson=new GsonBuilder().registerTypeAdapter(User.class,new RegisteredUserAdapter()).create();String json=gson.toJson(new Computer(new User(""Inderjeet Singh"")));assertEquals(""{\""user\"":\""RegisteredUserAdapter\""}"",json);Computer computer=gson.fromJson(""{'user':'Inderjeet Singh'}"",Computer.class);assertEquals(""RegisteredUserAdapter"",computer.user.name);}"
"com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testFieldAnnotationTakesPrecedenceOverRegisteredTypeAdapter",0,"public void testFieldAnnotationTakesPrecedenceOverRegisteredTypeAdapter(){Gson gson=new GsonBuilder().registerTypeAdapter(Part.class,new TypeAdapter<Part>(){@Override public void write(JsonWriter out,Part part)throws IOException {throw new AssertionError();}@Override public Part read(JsonReader in)throws IOException {throw new AssertionError();}}).create();String json=gson.toJson(new Gadget(new Part(""screen"")));assertEquals(""{\""part\"":\""PartJsonFieldAnnotationAdapter\""}"",json);Gadget gadget=gson.fromJson(""{'part':'screen'}"",Gadget.class);assertEquals(""PartJsonFieldAnnotationAdapter"",gadget.part.name);}"
"com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testFieldAnnotationTakesPrecedenceOverClassAnnotation",0,"public void testFieldAnnotationTakesPrecedenceOverClassAnnotation(){Gson gson=new Gson();String json=gson.toJson(new Computer2(new User(""Inderjeet Singh"")));assertEquals(""{\""user\"":\""UserFieldAnnotationAdapter\""}"",json);Computer2 target=gson.fromJson(""{'user':'Interjeet Singh'}"",Computer2.class);assertEquals(""UserFieldAnnotationAdapter"",target.user.name);}"
"com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testJsonAdapterInvokedOnlyForAnnotatedFields",0,"public void testJsonAdapterInvokedOnlyForAnnotatedFields(){Gson gson=new Gson();String json=""{'part1':'name','part2':{'name':'name2'}}"";GadgetWithTwoParts gadget=gson.fromJson(json,GadgetWithTwoParts.class);assertEquals(""PartJsonFieldAnnotationAdapter"",gadget.part1.name);assertEquals(""name2"",gadget.part2.name);}"
"com.google.gson.functional.JsonAdapterAnnotationOnFieldsTest.testJsonAdapterWrappedInNullSafeAsRequested",0,"public void testJsonAdapterWrappedInNullSafeAsRequested(){Gson gson=new Gson();String fromJson=""{'part':null}"";GadgetWithOptionalPart gadget=gson.fromJson(fromJson,GadgetWithOptionalPart.class);assertNull(gadget.part);String toJson=gson.toJson(gadget);assertFalse(toJson.contains(""PartJsonFieldAnnotationAdapter""));}"
"com.google.gson.functional.InterfaceTest.testSerializingObjectImplementingInterface",0,"public void testSerializingObjectImplementingInterface()throws Exception {assertEquals(OBJ_JSON,gson.toJson(obj));}"
"com.google.gson.functional.InterfaceTest.testSerializingInterfaceObjectField",0,"public void testSerializingInterfaceObjectField()throws Exception {TestObjectWrapper objWrapper=new TestObjectWrapper(obj);assertEquals(""{\""obj\"":"" + OBJ_JSON + ""}"",gson.toJson(objWrapper));}"
"com.google.gson.internal.bind.JsonElementReaderTest.testNumbers",0,"public void testNumbers()throws IOException {JsonElement element=new JsonParser().parse(""[1,2,3]"");JsonTreeReader reader=new JsonTreeReader(element);reader.beginArray();assertEquals(1,reader.nextInt());assertEquals(2L,reader.nextLong());assertEquals(3.0,reader.nextDouble());reader.endArray();}"
