test_case,faulty,test_code
"com.fasterxml.jackson.core.json.GeneratorFailFromReaderTest.testFailOnWritingStringNotFieldNameBytes",0,"public void testFailOnWritingStringNotFieldNameBytes()throws Exception {_testFailOnWritingStringNotFieldName(F,false);}"
"com.fasterxml.jackson.core.json.GeneratorFailFromReaderTest.testFailOnWritingStringNotFieldNameChars",0,"public void testFailOnWritingStringNotFieldNameChars()throws Exception {_testFailOnWritingStringNotFieldName(F,true);}"
"com.fasterxml.jackson.core.json.GeneratorFailFromReaderTest.testFailOnWritingStringFromReaderWithTooFewCharacters",0,"public void testFailOnWritingStringFromReaderWithTooFewCharacters()throws Exception {_testFailOnWritingStringFromReaderWithTooFewCharacters(F,true);_testFailOnWritingStringFromReaderWithTooFewCharacters(F,false);}"
"com.fasterxml.jackson.core.json.GeneratorFailFromReaderTest.testFailOnWritingStringFromNullReader",0,"public void testFailOnWritingStringFromNullReader()throws Exception {_testFailOnWritingStringFromNullReader(F,true);_testFailOnWritingStringFromNullReader(F,false);}"
"com.fasterxml.jackson.core.util.TestNumberPrinting.testIntPrinting",0,"public void testIntPrinting()throws Exception {assertIntPrint(0);assertIntPrint(-3);assertIntPrint(1234);assertIntPrint(-1234);assertIntPrint(56789);assertIntPrint(-56789);assertIntPrint(999999);assertIntPrint(-999999);assertIntPrint(1000000);assertIntPrint(-1000000);assertIntPrint(10000001);assertIntPrint(-10000001);assertIntPrint(-100000012);assertIntPrint(100000012);assertIntPrint(1999888777);assertIntPrint(-1999888777);assertIntPrint(Integer.MAX_VALUE);assertIntPrint(Integer.MIN_VALUE);Random rnd=new Random(12345L);for (int i=0;i < 251000;++i){assertIntPrint(rnd.nextInt());}}"
"com.fasterxml.jackson.core.util.TestNumberPrinting.testLongPrinting",0,"public void testLongPrinting()throws Exception {assertLongPrint(0L,0);assertLongPrint(1L,0);assertLongPrint(-1L,0);assertLongPrint(Long.MAX_VALUE,0);assertLongPrint(Long.MIN_VALUE,0);assertLongPrint(Long.MAX_VALUE - 1L,0);assertLongPrint(Long.MIN_VALUE + 1L,0);Random rnd=new Random(12345L);for (int i=0;i < 678000;++i){long l=((long)rnd.nextInt()<< 32)| (long)rnd.nextInt();assertLongPrint(l,i);}}"
"com.fasterxml.jackson.core.read.NumberOverflowTest.testSimpleLongOverflow",0,"public void testSimpleLongOverflow()throws Exception {BigInteger below=BigInteger.valueOf(Long.MIN_VALUE);below=below.subtract(BigInteger.ONE);BigInteger above=BigInteger.valueOf(Long.MAX_VALUE);above=above.add(BigInteger.ONE);String DOC_BELOW=below.toString()+ "" "";String DOC_ABOVE=below.toString()+ "" "";for(int mode : ALL_MODES){JsonParser p=createParser(FACTORY,mode,DOC_BELOW);p.nextToken();try {long x=p.getLongValue();fail(""Expected an exception for underflow (input "" + p.getText()+ ""): instead,got long value: ""+ x);}catch(InputCoercionException e){verifyException(e,""out of range of long"");}p.close();p=createParser(mode,DOC_ABOVE);p.nextToken();try {long x=p.getLongValue();fail(""Expected an exception for underflow (input "" + p.getText()+ ""): instead,got long value: ""+ x);}catch(InputCoercionException e){verifyException(e,""out of range of long"");}p.close();}}"
"com.fasterxml.jackson.core.read.NumberOverflowTest.testMaliciousLongOverflow",0,"public void testMaliciousLongOverflow()throws Exception {for(int mode : ALL_STREAMING_MODES){for(String doc : new String[]{BIG_POS_DOC,BIG_NEG_DOC}){JsonParser p=createParser(mode,doc);assertToken(JsonToken.START_ARRAY,p.nextToken());assertToken(JsonToken.VALUE_NUMBER_INT,p.nextToken());try {p.getLongValue();fail(""Should not pass"");}catch(InputCoercionException e){verifyException(e,""out of range of long"");verifyException(e,""Integer with "" + BIG_NUM_LEN + "" digits"");}p.close();}}}"
"com.fasterxml.jackson.core.read.NumberOverflowTest.testMaliciousIntOverflow",0,"public void testMaliciousIntOverflow()throws Exception {for(int mode : ALL_STREAMING_MODES){for(String doc : new String[]{BIG_POS_DOC,BIG_NEG_DOC}){JsonParser p=createParser(mode,doc);assertToken(JsonToken.START_ARRAY,p.nextToken());assertToken(JsonToken.VALUE_NUMBER_INT,p.nextToken());try {p.getIntValue();fail(""Should not pass"");}catch(InputCoercionException e){verifyException(e,""out of range of int"");verifyException(e,""Integer with "" + BIG_NUM_LEN + "" digits"");}p.close();}}}"
"com.fasterxml.jackson.core.read.NumberOverflowTest.testMaliciousBigIntToDouble",0,"public void testMaliciousBigIntToDouble()throws Exception {for(int mode : ALL_STREAMING_MODES){final String doc=BIG_POS_DOC;JsonParser p=createParser(mode,doc);assertToken(JsonToken.START_ARRAY,p.nextToken());assertToken(JsonToken.VALUE_NUMBER_INT,p.nextToken());double d=p.getDoubleValue();assertEquals(Double.valueOf(BIG_POS_INTEGER),d);assertToken(JsonToken.END_ARRAY,p.nextToken());p.close();}}"
"com.fasterxml.jackson.core.read.NumberOverflowTest.testMaliciousBigIntToFloat",0,"public void testMaliciousBigIntToFloat()throws Exception {for(int mode : ALL_STREAMING_MODES){final String doc=BIG_POS_DOC;JsonParser p=createParser(mode,doc);assertToken(JsonToken.START_ARRAY,p.nextToken());assertToken(JsonToken.VALUE_NUMBER_INT,p.nextToken());float f=p.getFloatValue();assertEquals(Float.valueOf(BIG_POS_INTEGER),f);assertToken(JsonToken.END_ARRAY,p.nextToken());p.close();}}"
"com.fasterxml.jackson.core.json.async.ConfigTest.testFactoryDefaults",0,"public void testFactoryDefaults()throws IOException {assertTrue(DEFAULT_F.canParseAsync());}"
"com.fasterxml.jackson.core.json.async.ConfigTest.testAsyncParerDefaults",0,"public void testAsyncParerDefaults()throws IOException {byte[]data=_jsonDoc(""[true,false]"");AsyncReaderWrapper r=asyncForBytes(DEFAULT_F,100,data,0);JsonParser p=r.parser();assertTrue(p.canParseAsync());assertNull(p.getCodec());assertNull(p.getInputSource());assertEquals(-1,p.releaseBuffered(new StringWriter()));assertEquals(0,p.releaseBuffered(new ByteArrayOutputStream()));assertToken(JsonToken.START_ARRAY,r.nextToken());assertEquals(11,p.releaseBuffered(new ByteArrayOutputStream()));p.close();}"
"com.fasterxml.jackson.core.main.TestRawStringWriting.testUtf8RawStrings",0,"/** * Unit test for ""JsonGenerator.writeRawUTF8String()""*/public void testUtf8RawStrings()throws Exception {List<byte[]> strings=generateStrings(new Random(28),750000,false);ByteArrayOutputStream out=new ByteArrayOutputStream(16000);JsonFactory jf=new JsonFactory();JsonGenerator jgen=jf.createGenerator(out,JsonEncoding.UTF8);jgen.writeStartArray();for(byte[]str : strings){jgen.writeRawUTF8String(str,0,str.length);}jgen.writeEndArray();jgen.close();byte[]json=out.toByteArray();JsonParser jp=jf.createParser(json);assertToken(JsonToken.START_ARRAY,jp.nextToken());for(byte[]inputBytes : strings){assertToken(JsonToken.VALUE_STRING,jp.nextToken());String string=jp.getText();byte[]outputBytes=string.getBytes(""UTF-8"");assertEquals(inputBytes.length,outputBytes.length);assertArrayEquals(inputBytes,outputBytes);}assertToken(JsonToken.END_ARRAY,jp.nextToken());jp.close();}"
