test_case,faulty,test_code
"com.fasterxml.jackson.databind.exc.TestExceptionsDuringWriting.testCatchAndRethrow",0,"/** * Unit test that verifies that by default all exceptions except for JsonMappingException are caught and wrapped.*/public void testCatchAndRethrow()throws Exception {ObjectMapper mapper=new ObjectMapper();SimpleModule module=new SimpleModule(""test-exceptions"",Version.unknownVersion());module.addSerializer(Bean.class,new SerializerWithErrors());mapper.registerModule(module);try {StringWriter sw=new StringWriter();Bean[]b={new Bean()};List<Bean[]> l=new ArrayList<Bean[]>();l.add(b);mapper.writeValue(sw,l);fail(""Should have gotten an exception"");}catch(IOException e){verifyException(e,""test string"");Throwable root=e.getCause();assertNotNull(root);if (!(root instanceof IllegalArgumentException)){fail(""Wrapped exception not IAE,but "" + root.getClass());}}}"
"com.fasterxml.jackson.databind.exc.TestExceptionsDuringWriting.testExceptionWithSimpleMapper",0,"/** * Unit test for verifying that regular IOExceptions are not wrapped but are passed through as is.*/@SuppressWarnings(""resource"")public void testExceptionWithSimpleMapper()throws Exception {ObjectMapper mapper=new ObjectMapper();try {BrokenStringWriter sw=new BrokenStringWriter(""TEST"");mapper.writeValue(sw,createLongObject());fail(""Should have gotten an exception"");}catch(IOException e){verifyException(e,IOException.class,""TEST"");}}"
"com.fasterxml.jackson.databind.exc.TestExceptionsDuringWriting.testExceptionWithMapperAndGenerator",0,"@SuppressWarnings(""resource"")public void testExceptionWithMapperAndGenerator()throws Exception {ObjectMapper mapper=new ObjectMapper();JsonFactory f=new MappingJsonFactory();BrokenStringWriter sw=new BrokenStringWriter(""TEST"");JsonGenerator jg=f.createGenerator(sw);try {mapper.writeValue(jg,createLongObject());fail(""Should have gotten an exception"");}catch(IOException e){verifyException(e,IOException.class,""TEST"");}}"
"com.fasterxml.jackson.databind.exc.TestExceptionsDuringWriting.testExceptionWithGeneratorMapping",0,"@SuppressWarnings(""resource"")public void testExceptionWithGeneratorMapping()throws Exception {JsonFactory f=new MappingJsonFactory();JsonGenerator jg=f.createGenerator(new BrokenStringWriter(""TEST""));try {jg.writeObject(createLongObject());fail(""Should have gotten an exception"");}catch(Exception e){verifyException(e,IOException.class,""TEST"");}}"
"com.fasterxml.jackson.databind.exc.TestExceptionsDuringWriting.BaseMapTest",0,"protected void BaseMapTest(){super();}"
"com.fasterxml.jackson.databind.exc.BasicExceptionTest.testBadDefinition",0,"public void testBadDefinition()throws Exception {JavaType t=TypeFactory.defaultInstance().constructType(String.class);JsonParser p=JSON_F.createParser(""[]"");InvalidDefinitionException e=new InvalidDefinitionException(p,""Testing"",t);assertEquals(""Testing"",e.getOriginalMessage());assertEquals(String.class,e.getType().getRawClass());assertNull(e.getBeanDescription());assertNull(e.getProperty());assertSame(p,e.getProcessor());p.close();BeanDescription beanDef=MAPPER.getSerializationConfig().introspectClassAnnotations(getClass());e=InvalidDefinitionException.from(p,""Testing"",beanDef,(BeanPropertyDefinition)null);assertEquals(beanDef.getType(),e.getType());assertNotNull(e);JsonGenerator g=JSON_F.createGenerator(new StringWriter());e=new InvalidDefinitionException(p,""Testing"",t);assertEquals(""Testing"",e.getOriginalMessage());assertEquals(String.class,e.getType().getRawClass());e=InvalidDefinitionException.from(g,""Testing"",beanDef,(BeanPropertyDefinition)null);assertEquals(beanDef.getType(),e.getType());assertNotNull(e);g.close();}"
"com.fasterxml.jackson.databind.exc.BasicExceptionTest.testInvalidFormat",0,"@SuppressWarnings(""deprecation"")public void testInvalidFormat()throws Exception {InvalidFormatException e=new InvalidFormatException(""Testing"",Boolean.TRUE,String.class);assertSame(Boolean.TRUE,e.getValue());assertNull(e.getProcessor());assertNotNull(e);e=new InvalidFormatException(""Testing"",JsonLocation.NA,Boolean.TRUE,String.class);assertSame(Boolean.TRUE,e.getValue());assertNull(e.getProcessor());assertNotNull(e);}"
"com.fasterxml.jackson.databind.exc.BasicExceptionTest.testIgnoredProperty",0,"public void testIgnoredProperty()throws Exception {JsonParser p=JSON_F.createParser(""{}"");IgnoredPropertyException e=IgnoredPropertyException.from(p,this,""testProp"",Collections.<Object>singletonList(""x""));assertNotNull(e);e=IgnoredPropertyException.from(p,getClass(),""testProp"",null);assertNotNull(e);assertNull(e.getKnownPropertyIds());p.close();try {IgnoredPropertyException.from(p,null,""testProp"",Collections.<Object>singletonList(""x""));fail(""Should not pass"");}catch(NullPointerException e2){}}"
"com.fasterxml.jackson.databind.exc.BasicExceptionTest.testUnrecognizedProperty",0,"public void testUnrecognizedProperty()throws Exception {JsonParser p=JSON_F.createParser(""{}"");UnrecognizedPropertyException e=UnrecognizedPropertyException.from(p,this,""testProp"",Collections.<Object>singletonList(""y""));assertNotNull(e);assertEquals(getClass(),e.getReferringClass());Collection<Object> ids=e.getKnownPropertyIds();assertNotNull(ids);assertEquals(1,ids.size());assertTrue(ids.contains(""y""));e=UnrecognizedPropertyException.from(p,getClass(),""testProp"",Collections.<Object>singletonList(""y""));assertEquals(getClass(),e.getReferringClass());p.close();}"
"com.fasterxml.jackson.databind.exc.BasicExceptionTest.BaseMapTest",0,"protected void BaseMapTest(){super();}"
