test_case,faulty,test_code
"org.jsoup.select.SelectorTest.testByTag",0,"@Test public void testByTag(){Elements els=Jsoup.parse(""<div id=1><div id=2><p>Hello</p></div></div><DIV id=3>"").select(""DIV"");assertEquals(3,els.size());assertEquals(""1"",els.get(0).id());assertEquals(""2"",els.get(1).id());assertEquals(""3"",els.get(2).id());Elements none=Jsoup.parse(""<div id=1><div id=2><p>Hello</p></div></div><div id=3>"").select(""span"");assertEquals(0,none.size());}"
"org.jsoup.select.SelectorTest.testById",0,"@Test public void testById(){Elements els=Jsoup.parse(""<div><p id=foo>Hello</p><p id=foo>Foo two!</p></div>"").select(""#foo"");assertEquals(2,els.size());assertEquals(""Hello"",els.get(0).text());assertEquals(""Foo two!"",els.get(1).text());Elements none=Jsoup.parse(""<div id=1></div>"").select(""#foo"");assertEquals(0,none.size());}"
"org.jsoup.select.SelectorTest.testByClass",0,"@Test public void testByClass(){Elements els=Jsoup.parse(""<p id=0 class='ONE two'><p id=1 class='one'><p id=2 class='two'>"").select(""P.One"");assertEquals(2,els.size());assertEquals(""0"",els.get(0).id());assertEquals(""1"",els.get(1).id());Elements none=Jsoup.parse(""<div class='one'></div>"").select("".foo"");assertEquals(0,none.size());Elements els2=Jsoup.parse(""<div class='One-Two'></div>"").select("".one-two"");assertEquals(1,els2.size());}"
"org.jsoup.select.SelectorTest.testByClassCaseInsensitive",0,"@Test public void testByClassCaseInsensitive(){String html=""<p Class=foo>One <p Class=Foo>Two <p class=FOO>Three <p class=farp>Four"";Elements elsFromClass=Jsoup.parse(html).select(""P.Foo"");Elements elsFromAttr=Jsoup.parse(html).select(""p[class=foo]"");assertEquals(elsFromAttr.size(),elsFromClass.size());assertEquals(3,elsFromClass.size());assertEquals(""Two"",elsFromClass.get(1).text());}"
"org.jsoup.select.SelectorTest.testByAttribute",0,"@Test @MultiLocaleTest public void testByAttribute(){String h=""<div Title=Foo /><div Title=Bar /><div Style=Qux /><div title=Balim /><div title=SLIM />"" + ""<div data-name='with spaces'/>"";Document doc=Jsoup.parse(h);Elements withTitle=doc.select(""[title]"");assertEquals(4,withTitle.size());Elements foo=doc.select(""[TITLE=foo]"");assertEquals(1,foo.size());Elements foo2=doc.select(""[title=\""foo\""]"");assertEquals(1,foo2.size());Elements foo3=doc.select(""[title=\""Foo\""]"");assertEquals(1,foo3.size());Elements dataName=doc.select(""[data-name=\""with spaces\""]"");assertEquals(1,dataName.size());assertEquals(""with spaces"",dataName.first().attr(""data-name""));Elements not=doc.select(""div[title!=bar]"");assertEquals(5,not.size());assertEquals(""Foo"",not.first().attr(""title""));Elements starts=doc.select(""[title^=ba]"");assertEquals(2,starts.size());assertEquals(""Bar"",starts.first().attr(""title""));assertEquals(""Balim"",starts.last().attr(""title""));Elements ends=doc.select(""[title$=im]"");assertEquals(2,ends.size());assertEquals(""Balim"",ends.first().attr(""title""));assertEquals(""SLIM"",ends.last().attr(""title""));Elements contains=doc.select(""[title*=i]"");assertEquals(2,contains.size());assertEquals(""Balim"",contains.first().attr(""title""));assertEquals(""SLIM"",contains.last().attr(""title""));}"
"org.jsoup.select.SelectorTest.testNamespacedTag",0,"@Test public void testNamespacedTag(){Document doc=Jsoup.parse(""<div><abc:def id=1>Hello</abc:def></div> <abc:def class=bold id=2>There</abc:def>"");Elements byTag=doc.select(""abc|def"");assertEquals(2,byTag.size());assertEquals(""1"",byTag.first().id());assertEquals(""2"",byTag.last().id());Elements byAttr=doc.select("".bold"");assertEquals(1,byAttr.size());assertEquals(""2"",byAttr.last().id());Elements byTagAttr=doc.select(""abc|def.bold"");assertEquals(1,byTagAttr.size());assertEquals(""2"",byTagAttr.last().id());Elements byContains=doc.select(""abc|def:contains(e)"");assertEquals(2,byContains.size());assertEquals(""1"",byContains.first().id());assertEquals(""2"",byContains.last().id());}"
"org.jsoup.select.SelectorTest.testWildcardNamespacedTag",0,"@Test public void testWildcardNamespacedTag(){Document doc=Jsoup.parse(""<div><abc:def id=1>Hello</abc:def></div> <abc:def class=bold id=2>There</abc:def>"");Elements byTag=doc.select(""*|def"");assertEquals(2,byTag.size());assertEquals(""1"",byTag.first().id());assertEquals(""2"",byTag.last().id());Elements byAttr=doc.select("".bold"");assertEquals(1,byAttr.size());assertEquals(""2"",byAttr.last().id());Elements byTagAttr=doc.select(""*|def.bold"");assertEquals(1,byTagAttr.size());assertEquals(""2"",byTagAttr.last().id());Elements byContains=doc.select(""*|def:contains(e)"");assertEquals(2,byContains.size());assertEquals(""1"",byContains.first().id());assertEquals(""2"",byContains.last().id());}"
"org.jsoup.select.SelectorTest.testByAttributeStarting",0,"@Test @MultiLocaleTest public void testByAttributeStarting(){Document doc=Jsoup.parse(""<div id=1 ATTRIBUTE data-name=jsoup>Hello</div><p data-val=5 id=2>There</p><p id=3>No</p>"");Elements withData=doc.select(""[^data-]"");assertEquals(2,withData.size());assertEquals(""1"",withData.first().id());assertEquals(""2"",withData.last().id());withData=doc.select(""p[^data-]"");assertEquals(1,withData.size());assertEquals(""2"",withData.first().id());assertEquals(1,doc.select(""[^attrib]"").size());}"
"org.jsoup.select.SelectorTest.testByAttributeRegex",0,"@Test public void testByAttributeRegex(){Document doc=Jsoup.parse(""<p><img src=foo.png id=1><img src=bar.jpg id=2><img src=qux.JPEG id=3><img src=old.gif><img></p>"");Elements imgs=doc.select(""img[src~=(?i)\\.(png|jpe?g)]"");assertEquals(3,imgs.size());assertEquals(""1"",imgs.get(0).id());assertEquals(""2"",imgs.get(1).id());assertEquals(""3"",imgs.get(2).id());}"
"org.jsoup.select.SelectorTest.testByAttributeRegexCharacterClass",0,"@Test public void testByAttributeRegexCharacterClass(){Document doc=Jsoup.parse(""<p><img src=foo.png id=1><img src=bar.jpg id=2><img src=qux.JPEG id=3><img src=old.gif id=4></p>"");Elements imgs=doc.select(""img[src~=[o]]"");assertEquals(2,imgs.size());assertEquals(""1"",imgs.get(0).id());assertEquals(""4"",imgs.get(1).id());}"
