test_case,faulty,test_code
"org.apache.commons.jxpath.BasicNodeSetTest.testAdd",0,"/** * Test adding pointers.*/public void testAdd(){addPointers(""/bean/integers"");assertEquals(nodeSet.getPointers().toString(),list(""/bean/integers[1]"",""/bean/integers[2]"",""/bean/integers[3]"",""/bean/integers[4]"").toString());assertEquals(list(new Integer(1),new Integer(2),new Integer(3),new Integer(4)),nodeSet.getValues());assertEquals(list(new Integer(1),new Integer(2),new Integer(3),new Integer(4)),nodeSet.getNodes());}"
"org.apache.commons.jxpath.BasicNodeSetTest.testRemove",0,"/** * Test removing a pointer.*/public void testRemove(){addPointers(""/bean/integers"");removePointers(""/bean/integers[4]"");assertEquals(list(""/bean/integers[1]"",""/bean/integers[2]"",""/bean/integers[3]"").toString(),nodeSet.getPointers().toString());assertEquals(list(new Integer(1),new Integer(2),new Integer(3)),nodeSet.getValues());assertEquals(list(new Integer(1),new Integer(2),new Integer(3)),nodeSet.getNodes());}"
"org.apache.commons.jxpath.BasicNodeSetTest.testNodes",0,"/** * Demonstrate when nodes != values:  in XML models.*/public void testNodes(){addPointers(""/document/vendor/contact"");assertEquals(list(""/document/vendor[1]/contact[1]"",""/document/vendor[1]/contact[2]"",""/document/vendor[1]/contact[3]"",""/document/vendor[1]/contact[4]"").toString(),nodeSet.getPointers().toString());assertEquals(list(""John"",""Jack"",""Jim"",""Jack Black""),nodeSet.getValues());assertElementNames(list(""contact"",""contact"",""contact"",""contact""),nodeSet.getNodes());assertElementValues(list(""John"",""Jack"",""Jim"",""Jack Black""),nodeSet.getNodes());}"
"org.apache.commons.jxpath.ri.compiler.CoreOperationTest.testInfoSetTypes",0,"public void testInfoSetTypes(){assertXPathValue(context,""1"",new Double(1.0));assertXPathPointer(context,""1"",""1"");assertXPathValueIterator(context,""1"",list(new Double(1.0)));assertXPathPointerIterator(context,""1"",list(""1""));assertXPathValue(context,""-1"",new Double(-1.0));assertXPathValue(context,""2 + 2"",new Double(4.0));assertXPathValue(context,""3 - 2"",new Double(1.0));assertXPathValue(context,""1 + 2 + 3 - 4 + 5"",new Double(7.0));assertXPathValue(context,""3 * 2"",new Double(3.0 * 2.0));assertXPathValue(context,""3 div 2"",new Double(3.0 / 2.0));assertXPathValue(context,""5 mod 2"",new Double(1.0));assertXPathValue(context,""5.9 mod 2.1"",new Double(1.0));assertXPathValue(context,""5 mod -2"",new Double(1.0));assertXPathValue(context,""-5 mod 2"",new Double(-1.0));assertXPathValue(context,""-5 mod -2"",new Double(-1.0));assertXPathValue(context,""1 < 2"",Boolean.TRUE);assertXPathValue(context,""1 > 2"",Boolean.FALSE);assertXPathValue(context,""1 <= 1"",Boolean.TRUE);assertXPathValue(context,""1 >= 2"",Boolean.FALSE);assertXPathValue(context,""3 > 2 > 1"",Boolean.FALSE);assertXPathValue(context,""3 > 2 and 2 > 1"",Boolean.TRUE);assertXPathValue(context,""3 > 2 and 2 < 1"",Boolean.FALSE);assertXPathValue(context,""3 < 2 or 2 > 1"",Boolean.TRUE);assertXPathValue(context,""3 < 2 or 2 < 1"",Boolean.FALSE);assertXPathValue(context,""1 = 1"",Boolean.TRUE);assertXPathValue(context,""1 = '1'"",Boolean.TRUE);assertXPathValue(context,""1 > 2 = 2 > 3"",Boolean.TRUE);assertXPathValue(context,""1 > 2 = 0"",Boolean.TRUE);assertXPathValue(context,""1 = 2"",Boolean.FALSE);assertXPathValue(context,""$integer"",new Double(1),Double.class);assertXPathValue(context,""2 + 3"",""5.0"",String.class);assertXPathValue(context,""2 + 3"",Boolean.TRUE,boolean.class);assertXPathValue(context,""'true'"",Boolean.TRUE,Boolean.class);}"
"org.apache.commons.jxpath.ri.compiler.CoreOperationTest.testNodeSetOperations",0,"public void testNodeSetOperations(){assertXPathValue(context,""$array > 0"",Boolean.TRUE,Boolean.class);assertXPathValue(context,""$array >= 0"",Boolean.TRUE,Boolean.class);assertXPathValue(context,""$array = 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$array = 0.25"",Boolean.TRUE,Boolean.class);assertXPathValue(context,""$array = 0.5"",Boolean.TRUE,Boolean.class);assertXPathValue(context,""$array = 0.50000"",Boolean.TRUE,Boolean.class);assertXPathValue(context,""$array = 0.75"",Boolean.TRUE,Boolean.class);assertXPathValue(context,""$array < 1"",Boolean.TRUE,Boolean.class);assertXPathValue(context,""$array <= 1"",Boolean.TRUE,Boolean.class);assertXPathValue(context,""$array = 1"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$array > 1"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$array < 0"",Boolean.FALSE,Boolean.class);}"
"org.apache.commons.jxpath.ri.compiler.CoreOperationTest.testEmptyNodeSetOperations",0,"public void testEmptyNodeSetOperations(){assertXPathValue(context,""/idonotexist = 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""/idonotexist != 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""/idonotexist < 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""/idonotexist > 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""/idonotexist >= 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""/idonotexist <= 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$array[position()< 1]= 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$array[position()< 1]!= 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$array[position()< 1]< 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$array[position()< 1]> 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$array[position()< 1]>= 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$array[position()< 1]<= 0"",Boolean.FALSE,Boolean.class);}"
"org.apache.commons.jxpath.ri.compiler.CoreOperationTest.testNan",0,"public void testNan(){assertXPathValue(context,""$nan > $nan"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan < $nan"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan >= $nan"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan <= $nan"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan >= $nan and $nan <= $nan"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan = $nan"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan != $nan"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan > 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan < 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan >= 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan <= 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan >= 0 and $nan <= 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan = 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan != 0"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan > 1"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan < 1"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan >= 1"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan <= 1"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan >= 1 and $nan <= 1"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan = 1"",Boolean.FALSE,Boolean.class);assertXPathValue(context,""$nan != 1"",Boolean.FALSE,Boolean.class);}"
"org.apache.commons.jxpath.ri.model.beans.BadlyImplementedFactoryTest.testBadFactoryImplementation",0,"public void testBadFactoryImplementation(){try {context.createPath(""foo/bar"");fail(""should fail with JXPathException caused by JXPathAbstractFactoryException"");}catch(JXPathException e){assertTrue(e.getCause()instanceof JXPathAbstractFactoryException);}}"
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testAxisChild",0,"public void testAxisChild(){assertXPathValue(context,""map/Key1"",""Value 1"");assertXPathPointer(context,""map/Key1"",""/map[@name='Key1']"");assertXPathValue(context,""map/Key2/name"",""Name 6"");assertXPathPointer(context,""map/Key2/name"",""/map[@name='Key2']/name"");}"
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testAxisDescendant",0,"public void testAxisDescendant(){assertXPathValue(context,""//Key1"",""Value 1"");}"
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testAttributeName",0,"/** * Testing the pseudo-attribute ""name"" that dynamic property objects appear to have.*/public void testAttributeName(){assertXPathValue(context,""map[@name = 'Key1']"",""Value 1"");assertXPathPointer(context,""map[@name = 'Key1']"",""/map[@name='Key1']"");assertXPathPointerLenient(context,""map[@name = 'Key&quot;&apos;&quot;&apos;1']"",""/map[@name='Key&quot;&apos;&quot;&apos;1']"");assertXPathValue(context,""/.[@name='map']/Key2/name"",""Name 6"");assertXPathPointer(context,""/.[@name='map']/Key2/name"",""/map[@name='Key2']/name"");assertXPathValue(context,""/map[@name='Key2'][@name='name']"",""Name 6"");assertXPathPointer(context,""/map[@name='Key2'][@name='name']"",""/map[@name='Key2']/name"");assertXPathValue(context,""/.[@name='map'][@name='Key2'][@name='name']"",""Name 6"");assertXPathPointer(context,""/.[@name='map'][@name='Key2'][@name='name']"",""/map[@name='Key2']/name"");((Map)context.getValue(""map"")).put(""Key:3"",""value3"");assertXPathValueAndPointer(context,""/map[@name='Key:3']"",""value3"",""/map[@name='Key:3']"");assertXPathValueAndPointer(context,""/map[@name='Key:4:5']"",null,""/map[@name='Key:4:5']"");}"
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testSetPrimitiveValue",0,"public void testSetPrimitiveValue(){assertXPathSetValue(context,""map/Key1"",new Integer(6));}"
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testSetCollection",0,"public void testSetCollection(){context.setValue(""map/Key1"",new Integer[]{new Integer(7),new Integer(8)});assertXPathSetValue(context,""map/Key1[1]"",new Integer(9));}"
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testSetNewKey",0,"/** * The key does not exist,but the assignment should succeed anyway,because you should always be able to store anything in a Map.*/public void testSetNewKey(){assertXPathSetValue(context,""map/Key4"",new Integer(7));assertXPathPointerLenient(context,""//map/Key5"",""/map/Key5"");assertXPathSetValue(context,""//map/Key5"",new Integer(8));}"
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testCreatePath",0,"public void testCreatePath(){TestBean bean=(TestBean)context.getContextBean();bean.setMap(null);assertXPathCreatePath(context,""/map[@name='TestKey1']"","""",""/map[@name='TestKey1']"");}"
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testCreatePathAndSetValue",0,"public void testCreatePathAndSetValue(){TestBean bean=(TestBean)context.getContextBean();bean.setMap(null);assertXPathCreatePathAndSetValue(context,""/map[@name='TestKey1']"",""Test"",""/map[@name='TestKey1']"");}"
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testCreatePathCreateBean",0,"public void testCreatePathCreateBean(){TestBean bean=(TestBean)context.getContextBean();bean.setMap(null);assertXPathCreatePath(context,""/map[@name='TestKey2']/int"",new Integer(1),""/map[@name='TestKey2']/int"");}"
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testCreatePathAndSetValueCreateBean",0,"public void testCreatePathAndSetValueCreateBean(){TestBean bean=(TestBean)context.getContextBean();bean.setMap(null);assertXPathCreatePathAndSetValue(context,""/map[@name='TestKey2']/int"",new Integer(4),""/map[@name='TestKey2']/int"");}"
"org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertiesModelTest.testCreatePathCollectionElement",0,"public void testCreatePathCollectionElement(){TestBean bean=(TestBean)context.getContextBean();bean.setMap(null);assertXPathCreatePath(context,""/map/TestKey3[2]"",null,""/map[@name='TestKey3'][2]"");assertXPathCreatePath(context,""/map[@name='TestKey3'][3]"",null,""/map[@name='TestKey3'][3]"");}"
