test_case,faulty,test_code
"org.apache.commons.lang.builder.StandardToStringStyleTest.testBlank",0,"public void testBlank(){assertEquals(baseStr + ""[]"",new ToStringBuilder(base).toString());}"
"org.apache.commons.lang.builder.StandardToStringStyleTest.testAppendSuper",0,"public void testAppendSuper(){assertEquals(baseStr + ""[]"",new ToStringBuilder(base).appendSuper(""Integer@8888[]"").toString());assertEquals(baseStr + ""[%NULL%]"",new ToStringBuilder(base).appendSuper(""Integer@8888[%NULL%]"").toString());assertEquals(baseStr + ""[a=hello]"",new ToStringBuilder(base).appendSuper(""Integer@8888[]"").append(""a"",""hello"").toString());assertEquals(baseStr + ""[%NULL%,a=hello]"",new ToStringBuilder(base).appendSuper(""Integer@8888[%NULL%]"").append(""a"",""hello"").toString());assertEquals(baseStr + ""[a=hello]"",new ToStringBuilder(base).appendSuper(null).append(""a"",""hello"").toString());}"
"org.apache.commons.lang.builder.StandardToStringStyleTest.testObject",0,"public void testObject(){Integer i3=new Integer(3);Integer i4=new Integer(4);assertEquals(baseStr + ""[%NULL%]"",new ToStringBuilder(base).append((Object)null).toString());assertEquals(baseStr + ""[3]"",new ToStringBuilder(base).append(i3).toString());assertEquals(baseStr + ""[a=%NULL%]"",new ToStringBuilder(base).append(""a"",(Object)null).toString());assertEquals(baseStr + ""[a=3]"",new ToStringBuilder(base).append(""a"",i3).toString());assertEquals(baseStr + ""[a=3,b=4]"",new ToStringBuilder(base).append(""a"",i3).append(""b"",i4).toString());assertEquals(baseStr + ""[a=%Integer%]"",new ToStringBuilder(base).append(""a"",i3,false).toString());assertEquals(baseStr + ""[a=%SIZE=0%]"",new ToStringBuilder(base).append(""a"",new ArrayList(),false).toString());assertEquals(baseStr + ""[a=[]]"",new ToStringBuilder(base).append(""a"",new ArrayList(),true).toString());assertEquals(baseStr + ""[a=%SIZE=0%]"",new ToStringBuilder(base).append(""a"",new HashMap(),false).toString());assertEquals(baseStr + ""[a={}]"",new ToStringBuilder(base).append(""a"",new HashMap(),true).toString());assertEquals(baseStr + ""[a=%SIZE=0%]"",new ToStringBuilder(base).append(""a"",(Object)new String[0],false).toString());assertEquals(baseStr + ""[a=[]]"",new ToStringBuilder(base).append(""a"",(Object)new String[0],true).toString());}"
"org.apache.commons.lang.builder.StandardToStringStyleTest.testLong",0,"public void testLong(){assertEquals(baseStr + ""[3]"",new ToStringBuilder(base).append(3L).toString());assertEquals(baseStr + ""[a=3]"",new ToStringBuilder(base).append(""a"",3L).toString());assertEquals(baseStr + ""[a=3,b=4]"",new ToStringBuilder(base).append(""a"",3L).append(""b"",4L).toString());}"
"org.apache.commons.lang.builder.StandardToStringStyleTest.testObjectArray",0,"public void testObjectArray(){Object[]array=new Object[]{null,base,new int[]{3,6}};assertEquals(baseStr + ""[[%NULL%,5,[3,6]]]"",new ToStringBuilder(base).append(array).toString());assertEquals(baseStr + ""[[%NULL%,5,[3,6]]]"",new ToStringBuilder(base).append((Object)array).toString());array=null;assertEquals(baseStr + ""[%NULL%]"",new ToStringBuilder(base).append(array).toString());assertEquals(baseStr + ""[%NULL%]"",new ToStringBuilder(base).append((Object)array).toString());}"
"org.apache.commons.lang.builder.StandardToStringStyleTest.testLongArray",0,"public void testLongArray(){long[]array=new long[]{1,2,-3,4};assertEquals(baseStr + ""[[1,2,-3,4]]"",new ToStringBuilder(base).append(array).toString());assertEquals(baseStr + ""[[1,2,-3,4]]"",new ToStringBuilder(base).append((Object)array).toString());array=null;assertEquals(baseStr + ""[%NULL%]"",new ToStringBuilder(base).append(array).toString());assertEquals(baseStr + ""[%NULL%]"",new ToStringBuilder(base).append((Object)array).toString());}"
"org.apache.commons.lang.builder.StandardToStringStyleTest.testLongArrayArray",0,"public void testLongArrayArray(){long[][]array=new long[][]{{1,2},null,{5}};assertEquals(baseStr + ""[[[1,2],%NULL%,[5]]]"",new ToStringBuilder(base).append(array).toString());assertEquals(baseStr + ""[[[1,2],%NULL%,[5]]]"",new ToStringBuilder(base).append((Object)array).toString());array=null;assertEquals(baseStr + ""[%NULL%]"",new ToStringBuilder(base).append(array).toString());assertEquals(baseStr + ""[%NULL%]"",new ToStringBuilder(base).append((Object)array).toString());}"
"org.apache.commons.lang.CharUtilsTest.testConstructor",0,"public void testConstructor(){assertNotNull(new CharUtils());Constructor[]cons=CharUtils.class.getDeclaredConstructors();assertEquals(1,cons.length);assertEquals(true,Modifier.isPublic(cons[0].getModifiers()));assertEquals(true,Modifier.isPublic(BooleanUtils.class.getModifiers()));assertEquals(false,Modifier.isFinal(BooleanUtils.class.getModifiers()));}"
"org.apache.commons.lang.CharUtilsTest.testToCharacterObject_char",0,"public void testToCharacterObject_char(){assertEquals(new Character('a'),CharUtils.toCharacterObject('a'));assertSame(CharUtils.toCharacterObject('a'),CharUtils.toCharacterObject('a'));for (int i=0;i < 128;i++){Character ch=CharUtils.toCharacterObject((char)i);Character ch2=CharUtils.toCharacterObject((char)i);assertSame(ch,ch2);assertEquals(i,ch.charValue());}for (int i=128;i < 196;i++){Character ch=CharUtils.toCharacterObject((char)i);Character ch2=CharUtils.toCharacterObject((char)i);assertEquals(ch,ch2);assertTrue(ch != ch2);assertEquals(i,ch.charValue());assertEquals(i,ch2.charValue());}}"
"org.apache.commons.lang.CharUtilsTest.testToCharacterObject_String",0,"public void testToCharacterObject_String(){assertEquals(null,CharUtils.toCharacterObject(null));assertEquals(null,CharUtils.toCharacterObject(""""));assertEquals(new Character('a'),CharUtils.toCharacterObject(""a""));assertEquals(new Character('a'),CharUtils.toCharacterObject(""abc""));assertSame(CharUtils.toCharacterObject(""a""),CharUtils.toCharacterObject(""a""));assertSame(CharUtils.toCharacterObject(""a""),CharUtils.toCharacterObject('a'));}"
