test_case,faulty,test_code
"org.apache.commons.math.util.DefaultTransformerTest.testTransformDouble",0,"/** */@Test public void testTransformDouble()throws Exception {double expected=1.0;Double input=Double.valueOf(expected);DefaultTransformer t=new DefaultTransformer();Assert.assertEquals(expected,t.transform(input),1.0e-4);}"
"org.apache.commons.math.util.DefaultTransformerTest.testTransformNull",0,"/** */@Test public void testTransformNull()throws Exception {DefaultTransformer t=new DefaultTransformer();try {t.transform(null);Assert.fail(""Expecting NullArgumentException"");}catch(NullArgumentException e){}}"
"org.apache.commons.math.util.DefaultTransformerTest.testTransformInteger",0,"/** */@Test public void testTransformInteger()throws Exception {double expected=1.0;Integer input=Integer.valueOf(1);DefaultTransformer t=new DefaultTransformer();Assert.assertEquals(expected,t.transform(input),1.0e-4);}"
"org.apache.commons.math.util.DefaultTransformerTest.testTransformBigDecimal",0,"/** */@Test public void testTransformBigDecimal()throws Exception {double expected=1.0;BigDecimal input=new BigDecimal(""1.0"");DefaultTransformer t=new DefaultTransformer();Assert.assertEquals(expected,t.transform(input),1.0e-4);}"
"org.apache.commons.math.util.DefaultTransformerTest.testTransformString",0,"/** */@Test public void testTransformString()throws Exception {double expected=1.0;String input=""1.0"";DefaultTransformer t=new DefaultTransformer();Assert.assertEquals(expected,t.transform(input),1.0e-4);}"
"org.apache.commons.math.util.DefaultTransformerTest.testTransformObject",0,"/** */@Test public void testTransformObject(){Boolean input=Boolean.TRUE;DefaultTransformer t=new DefaultTransformer();try {t.transform(input);Assert.fail(""Expecting MathException"");}catch(MathException e){}}"
"org.apache.commons.math.util.DefaultTransformerTest.testSerial",0,"@Test public void testSerial(){Assert.assertEquals(new DefaultTransformer(),TestUtils.serializeAndRecover(new DefaultTransformer()));}"
"org.apache.commons.math.stat.descriptive.moment.StandardDeviationTest.testNaN",0,"/** * Make sure Double.NaN is returned iff n = 0*/@Test public void testNaN(){StandardDeviation std=new StandardDeviation();Assert.assertTrue(Double.isNaN(std.getResult()));std.increment(1d);Assert.assertEquals(0d,std.getResult(),0);}"
"org.apache.commons.math.stat.descriptive.moment.StandardDeviationTest.testPopulation",0,"/** * Test population version of variance*/@Test public void testPopulation(){double[]values={-1.0d,3.1d,4.0d,-2.1d,22d,11.7d,3d,14d};double sigma=populationStandardDeviation(values);SecondMoment m=new SecondMoment();m.evaluate(values);StandardDeviation s1=new StandardDeviation();s1.setBiasCorrected(false);Assert.assertEquals(sigma,s1.evaluate(values),1E-14);s1.incrementAll(values);Assert.assertEquals(sigma,s1.getResult(),1E-14);s1=new StandardDeviation(false,m);Assert.assertEquals(sigma,s1.getResult(),1E-14);s1=new StandardDeviation(false);Assert.assertEquals(sigma,s1.evaluate(values),1E-14);s1.incrementAll(values);Assert.assertEquals(sigma,s1.getResult(),1E-14);}"
"org.apache.commons.math.ode.nonstiff.EulerIntegratorTest.testDimensionCheck",0,"@Test public void testDimensionCheck(){try {TestProblem1 pb=new TestProblem1();new EulerIntegrator(0.01).integrate(pb,0.0,new double[pb.getDimension()+ 10],1.0,new double[pb.getDimension()+ 10]);Assert.fail(""an exception should have been thrown"");}catch(MathUserException de){Assert.fail(""wrong exception caught"");}catch(IntegratorException ie){}}"
"org.apache.commons.math.ode.nonstiff.EulerIntegratorTest.testDecreasingSteps",0,"@Test public void testDecreasingSteps()throws MathUserException,IntegratorException {TestProblemAbstract[]problems=TestProblemFactory.getProblems();for (int k=0;k < problems.length;++k){double previousValueError=Double.NaN;double previousTimeError=Double.NaN;for (int i=4;i < 8;++i){TestProblemAbstract pb=problems[k].copy();double step=(pb.getFinalTime()- pb.getInitialTime())* FastMath.pow(2.0,-i);FirstOrderIntegrator integ=new EulerIntegrator(step);TestProblemHandler handler=new TestProblemHandler(pb,integ);integ.addStepHandler(handler);EventHandler[]functions=pb.getEventsHandlers();for (int l=0;l < functions.length;++l){integ.addEventHandler(functions[l],Double.POSITIVE_INFINITY,1.0e-6 * step,1000);}double stopTime=integ.integrate(pb,pb.getInitialTime(),pb.getInitialState(),pb.getFinalTime(),new double[pb.getDimension()]);if (functions.length == 0){Assert.assertEquals(pb.getFinalTime(),stopTime,1.0e-10);}double valueError=handler.getMaximalValueError();if (i > 4){Assert.assertTrue(valueError < FastMath.abs(previousValueError));}previousValueError=valueError;double timeError=handler.getMaximalTimeError();if (i > 4){Assert.assertTrue(timeError <= FastMath.abs(previousTimeError));}previousTimeError=timeError;}}}"
"org.apache.commons.math.ode.nonstiff.EulerIntegratorTest.testSmallStep",0,"@Test public void testSmallStep()throws MathUserException,IntegratorException {TestProblem1 pb=new TestProblem1();double step=(pb.getFinalTime()- pb.getInitialTime())* 0.001;FirstOrderIntegrator integ=new EulerIntegrator(step);TestProblemHandler handler=new TestProblemHandler(pb,integ);integ.addStepHandler(handler);integ.integrate(pb,pb.getInitialTime(),pb.getInitialState(),pb.getFinalTime(),new double[pb.getDimension()]);Assert.assertTrue(handler.getLastError()< 2.0e-4);Assert.assertTrue(handler.getMaximalValueError()< 1.0e-3);Assert.assertEquals(0,handler.getMaximalTimeError(),1.0e-12);Assert.assertEquals(""Euler"",integ.getName());}"
"org.apache.commons.math.ode.nonstiff.EulerIntegratorTest.testBigStep",0,"@Test public void testBigStep()throws MathUserException,IntegratorException {TestProblem1 pb=new TestProblem1();double step=(pb.getFinalTime()- pb.getInitialTime())* 0.2;FirstOrderIntegrator integ=new EulerIntegrator(step);TestProblemHandler handler=new TestProblemHandler(pb,integ);integ.addStepHandler(handler);integ.integrate(pb,pb.getInitialTime(),pb.getInitialState(),pb.getFinalTime(),new double[pb.getDimension()]);Assert.assertTrue(handler.getLastError()> 0.01);Assert.assertTrue(handler.getMaximalValueError()> 0.2);Assert.assertEquals(0,handler.getMaximalTimeError(),1.0e-12);}"
"org.apache.commons.math.ode.nonstiff.EulerIntegratorTest.testBackward",0,"@Test public void testBackward()throws MathUserException,IntegratorException {TestProblem5 pb=new TestProblem5();double step=FastMath.abs(pb.getFinalTime()- pb.getInitialTime())* 0.001;FirstOrderIntegrator integ=new EulerIntegrator(step);TestProblemHandler handler=new TestProblemHandler(pb,integ);integ.addStepHandler(handler);integ.integrate(pb,pb.getInitialTime(),pb.getInitialState(),pb.getFinalTime(),new double[pb.getDimension()]);Assert.assertTrue(handler.getLastError()< 0.45);Assert.assertTrue(handler.getMaximalValueError()< 0.45);Assert.assertEquals(0,handler.getMaximalTimeError(),1.0e-12);Assert.assertEquals(""Euler"",integ.getName());}"
"org.apache.commons.math.ode.nonstiff.EulerIntegratorTest.testStepSize",0,"@Test public void testStepSize()throws MathUserException,IntegratorException {final double step=1.23456;FirstOrderIntegrator integ=new EulerIntegrator(step);integ.addStepHandler(new StepHandler(){public void handleStep(StepInterpolator interpolator,boolean isLast){if (!isLast){Assert.assertEquals(step,interpolator.getCurrentTime()- interpolator.getPreviousTime(),1.0e-12);}}public boolean requiresDenseOutput(){return false;}public void reset(){}});integ.integrate(new FirstOrderDifferentialEquations(){private static final long serialVersionUID=0L;public void computeDerivatives(double t,double[]y,double[]dot){dot[0]=1.0;}public int getDimension(){return 1;}},0.0,new double[]{0.0},5.0,new double[1]);}"
