test_case,faulty,test_code
"org.mockitousage.serialization.AcrossClassLoaderSerializationTest.check_that_mock_can_be_serialized_in_a_classloader_and_deserialized_in_another",0,"@Test public void check_that_mock_can_be_serialized_in_a_classloader_and_deserialized_in_another()throws Exception {byte[]bytes=create_mock_and_serialize_it_in_class_loader_A();Object the_deserialized_mock=read_stream_and_deserialize_it_in_class_loader_B(bytes);}"
"org.mockito.internal.util.MockUtilTest.should_get_handler",0,"@Test public void should_get_handler(){List mock=Mockito.mock(List.class);assertNotNull(mockUtil.getMockHandler(mock));}"
"org.mockito.internal.util.MockUtilTest.should_scream_when_enhanced_but_not_a_mock_passed",0,"@Test public void should_scream_when_enhanced_but_not_a_mock_passed(){Object o=Enhancer.create(ArrayList.class,NoOp.INSTANCE);try {mockUtil.getMockHandler(o);fail();}catch(NotAMockException e){}}"
"org.mockito.internal.util.MockUtilTest.should_scream_when_not_a_mock_passed",0,"@Test(expected=NotAMockException.class)public void should_scream_when_not_a_mock_passed(){mockUtil.getMockHandler("""");}"
"org.mockito.internal.util.MockUtilTest.should_scream_when_null_passed",0,"@Test(expected=MockitoException.class)public void should_scream_when_null_passed(){mockUtil.getMockHandler(null);}"
"org.mockito.internal.util.MockUtilTest.should_get_mock_settings",0,"@Test public void should_get_mock_settings(){List mock=Mockito.mock(List.class);assertNotNull(mockUtil.getMockSettings(mock));}"
"org.mockito.internal.util.MockUtilTest.should_validate_mock",0,"@Test public void should_validate_mock(){assertFalse(mockUtil.isMock(""i mock a mock""));assertTrue(mockUtil.isMock(Mockito.mock(List.class)));}"
"org.mockito.internal.util.MockUtilTest.should_validate_spy",0,"@Test public void should_validate_spy(){assertFalse(mockUtil.isSpy(""i mock a mock""));assertFalse(mockUtil.isSpy(Mockito.mock(List.class)));assertTrue(mockUtil.isSpy(Mockito.spy(new ArrayList())));assertFalse(mockUtil.isSpy((Class)null));}"
"org.mockito.internal.util.MockUtilTest.should_redefine_MockName_if_default",0,"@Test public void should_redefine_MockName_if_default(){List mock=Mockito.mock(List.class);mockUtil.maybeRedefineMockName(mock,""newName"");Assertions.assertThat(mockUtil.getMockName(mock).toString()).isEqualTo(""newName"");}"
"org.mockito.internal.util.MockUtilTest.should_not_redefine_MockName_if_default",0,"@Test public void should_not_redefine_MockName_if_default(){List mock=Mockito.mock(List.class,""original"");mockUtil.maybeRedefineMockName(mock,""newName"");Assertions.assertThat(mockUtil.getMockName(mock).toString()).isEqualTo(""original"");}"
